press_event_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,carrier_team_id,n_frames_in_episode,mean_pressers_5m,min_nearest_defender_distance_cm,mean_local_numerical_balance,outcome
0,113,113,3.7666666666666666,3.7666666666666666,0.0,1,1,1.0,288.91471453544773,0.0,SUCCESS
1,153,177,5.1,5.9,0.8,0,5,1.0,220.25764966318332,1.8,FAILED
2,221,222,7.366666666666666,7.4,0.03333333333333333,0,2,1.0,289.4402717449447,-1.0,FAILED
3,493,495,16.433333333333334,16.5,0.06666666666666667,0,3,3.0,219.16385517121063,-4.333333333333333,UNCERTAIN
4,542,547,18.066666666666666,18.233333333333334,0.16666666666666666,0,4,1.25,107.07743410888257,-0.75,UNCERTAIN
5,1222,1444,40.733333333333334,48.13333333333333,7.4,1,9,1.6666666666666667,79.31474034058179,-3.0,FAILED
6,1489,1489,49.63333333333333,49.63333333333333,0.0,1,1,2.0,247.7517826581751,-2.0,SUCCESS
7,1572,1572,52.4,52.4,0.0,1,1,2.0,342.49545621658564,-3.0,UNCERTAIN
8,1745,1746,58.166666666666664,58.2,0.03333333333333333,1,2,1.0,450.8948248458954,0.0,UNCERTAIN
9,3099,3099,103.3,103.3,0.0,1,1,1.0,204.6312368012544,-3.0,SUCCESS
10,3301,3302,110.03333333333333,110.06666666666666,0.03333333333333333,1,2,2.0,275.95672102169095,-2.0,FAILED
